No,A,B,S,C,HP,Win,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
63,8,8,10,3,55,149,21,25,10,8,2,0,3,0,1,2,2,4,4,3,4,0,6,5,0,0,0,0,0,0,0,8,19,8,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,8,8,10,1,75,502,30,37,52,42,47,25,22,15,10,1,0,0,0,0,0,0,9,10,25,23,21,19,17,5,2,1,1,7,9,5,13,8,4,6,0,0,0,0,0,0,0,0,0,0,1,12,8,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,8,8,10,1,77,524,19,22,26,39,39,38,38,25,28,15,6,0,0,0,0,0,0,2,9,14,22,26,25,21,10,9,0,0,5,5,8,7,6,5,7,10,3,0,0,0,0,0,0,0,0,0,0,4,8,6,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
57,8,8,10,1,78,515,5,12,29,24,39,40,37,36,37,29,10,5,0,0,0,0,0,0,1,8,12,20,21,19,13,14,3,2,0,1,5,11,1,11,7,12,4,0,0,0,0,0,0,0,0,0,0,1,9,12,9,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
55,8,8,10,1,76,519,21,31,38,43,41,35,30,27,12,12,1,0,0,0,0,0,0,6,16,16,26,30,16,14,7,1,3,5,3,4,8,9,5,7,7,1,0,0,0,0,0,0,0,0,0,2,7,15,7,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,8,8,10,3,56,179,28,22,21,12,5,2,1,2,1,2,3,3,4,4,4,4,3,6,2,0,0,0,0,0,0,0,12,12,8,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,8,10,3,57,198,20,26,23,14,17,4,6,4,0,2,3,2,4,3,6,5,2,2,5,0,0,0,0,0,0,0,3,13,14,2,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,8,8,10,3,60,230,3,10,18,22,32,18,14,10,4,0,3,2,0,1,0,3,5,7,7,5,4,5,9,0,0,0,0,0,0,1,18,6,8,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,8,8,10,3,59,200,4,13,17,30,28,18,13,6,1,1,1,1,0,0,4,1,6,5,7,4,9,3,0,0,0,0,0,0,2,9,8,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,8,8,10,3,58,233,9,24,34,23,16,15,6,2,3,2,1,2,1,3,5,7,5,3,6,7,5,0,0,0,0,0,0,3,11,11,13,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,8,8,10,3,61,219,0,0,5,16,18,32,29,16,14,6,2,3,1,1,1,1,3,4,8,2,4,2,5,5,0,0,0,0,0,0,1,10,5,11,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
